Light Level : 85.8333333333 lx | Presence: 0 | Timestamp: 1466095989
Light Level : 85.8333333333 lx | Presence: 0 | Timestamp: 1466095995
Light Level : 85.0 lx | Presence: 0 | Timestamp: 1466096049
Light Level : 85.0 lx | Presence: 0 | Timestamp: 1466096055
Light Level : 85.0 lx | Presence: 1 | Timestamp: 1466096109
Light Level : 85.0 lx | Presence: 0 | Timestamp: 1466096115
Light Level : 85.0 lx | Presence: 1 | Timestamp: 1466096169
Light Level : 85.0 lx | Presence: 1 | Timestamp: 1466096175
Light Level : 85.0 lx | Presence: 0 | Timestamp: 1466096229
Light Level : 85.0 lx | Presence: 0 | Timestamp: 1466096235
Light Level : 85.0 lx | Presence: 1 | Timestamp: 1466096290
Light Level : 85.8333333333 lx | Presence: 1 | Timestamp: 1466096295
Light Level : 85.8333333333 lx | Presence: 0 | Timestamp: 1466096350
Light Level : 84.1666666667 lx | Presence: 0 | Timestamp: 1466096355
Light Level : 84.1666666667 lx | Presence: 1 | Timestamp: 1466096410
Light Level : 84.1666666667 lx | Presence: 1 | Timestamp: 1466096415
Light Level : 85.0 lx | Presence: 1 | Timestamp: 1466096470
Light Level : 84.1666666667 lx | Presence: 1 | Timestamp: 1466096475
Light Level : 84.1666666667 lx | Presence: 0 | Timestamp: 1466096530
Light Level : 85.0 lx | Presence: 0 | Timestamp: 1466096535
Light Level : 85.0 lx | Presence: 1 | Timestamp: 1466096590
Light Level : 85.0 lx | Presence: 1 | Timestamp: 1466096595
Light Level : 85.0 lx | Presence: 0 | Timestamp: 1466096650
Light Level : 84.1666666667 lx | Presence: 0 | Timestamp: 1466096655
Light Level : 85.0 lx | Presence: 0 | Timestamp: 1466096710
Light Level : 85.8333333333 lx | Presence: 1 | Timestamp: 1466096715
Light Level : 85.8333333333 lx | Presence: 0 | Timestamp: 1466096770
Light Level : 85.0 lx | Presence: 1 | Timestamp: 1466096776
Light Level : 85.0 lx | Presence: 0 | Timestamp: 1466096830
Light Level : 85.0 lx | Presence: 0 | Timestamp: 1466096836
Light Level : 85.8333333333 lx | Presence: 1 | Timestamp: 1466096890
Light Level : 85.0 lx | Presence: 1 | Timestamp: 1466096896
Light Level : 85.0 lx | Presence: 1 | Timestamp: 1466096950
Light Level : 85.0 lx | Presence: 1 | Timestamp: 1466096956
Light Level : 85.0 lx | Presence: 1 | Timestamp: 1466097010
Light Level : 85.0 lx | Presence: 0 | Timestamp: 1466097016
Light Level : 85.0 lx | Presence: 0 | Timestamp: 1466097070
Light Level : 84.1666666667 lx | Presence: 0 | Timestamp: 1466097076
Light Level : 85.0 lx | Presence: 0 | Timestamp: 1466097130
Light Level : 85.8333333333 lx | Presence: 0 | Timestamp: 1466097136
Light Level : 85.8333333333 lx | Presence: 1 | Timestamp: 1466097190
Light Level : 85.0 lx | Presence: 1 | Timestamp: 1466097196
Light Level : 85.0 lx | Presence: 0 | Timestamp: 1466097250
Light Level : 85.0 lx | Presence: 0 | Timestamp: 1466097256
Light Level : 84.1666666667 lx | Presence: 0 | Timestamp: 1466097310
Light Level : 85.0 lx | Presence: 0 | Timestamp: 1466097316
Light Level : 85.0 lx | Presence: 0 | Timestamp: 1466097370
Light Level : 85.0 lx | Presence: 0 | Timestamp: 1466097376
Light Level : 84.1666666667 lx | Presence: 0 | Timestamp: 1466097431
Light Level : 85.0 lx | Presence: 0 | Timestamp: 1466097436
Light Level : 84.1666666667 lx | Presence: 0 | Timestamp: 1466097491
Light Level : 85.0 lx | Presence: 0 | Timestamp: 1466097496
Light Level : 85.0 lx | Presence: 0 | Timestamp: 1466097551
Light Level : 84.1666666667 lx | Presence: 0 | Timestamp: 1466097556
Light Level : 84.1666666667 lx | Presence: 0 | Timestamp: 1466097611
Light Level : 85.0 lx | Presence: 0 | Timestamp: 1466097616
Light Level : 85.8333333333 lx | Presence: 1 | Timestamp: 1466097671
Light Level : 84.1666666667 lx | Presence: 1 | Timestamp: 1466097676
Light Level : 84.1666666667 lx | Presence: 1 | Timestamp: 1466097731
Light Level : 83.3333333333 lx | Presence: 1 | Timestamp: 1466097736
Light Level : 84.1666666667 lx | Presence: 1 | Timestamp: 1466097791
Light Level : 82.5 lx | Presence: 1 | Timestamp: 1466097797
Light Level : 84.1666666667 lx | Presence: 1 | Timestamp: 1466097851
Light Level : 83.3333333333 lx | Presence: 1 | Timestamp: 1466097857
Light Level : 82.5 lx | Presence: 1 | Timestamp: 1466097911
Light Level : 85.0 lx | Presence: 1 | Timestamp: 1466097917
Light Level : 85.0 lx | Presence: 1 | Timestamp: 1466097971
Light Level : 84.1666666667 lx | Presence: 1 | Timestamp: 1466097977
Light Level : 82.5 lx | Presence: 1 | Timestamp: 1466098031
Light Level : 84.1666666667 lx | Presence: 1 | Timestamp: 1466098037
Light Level : 84.1666666667 lx | Presence: 1 | Timestamp: 1466098091
Light Level : 83.3333333333 lx | Presence: 1 | Timestamp: 1466098097
Light Level : 83.3333333333 lx | Presence: 1 | Timestamp: 1466098151
